name;description;category1;category
Modalidade assistencial;Classifica os contatos assistenciais de acordo com as especificidades do modo, local e duração do atendimento. Texto Codificado: 01 - Atenção Básica: atenção à saúde realizada por equipes multiprofissionais, obedecendo aos princípios da territorialidade e longitudinalidade, coordenando ou integrando o cuidado da rede, 02 - Atenção Domiciliar: atenção à saúde realizada de forma substitutiva ou complementar a internação hospitalar ou cuidado ambulatorial por profissionais de saúde no domicílio do indivíduo, 03 - Atenção Intermediária: atenção à saúde intermediária entre a internação e o atendimento ambulatorial para realização de procedimentos clínicos, cirúrgicos, diagnósticos e terapêuticos que requeiram a permanência do paciente em um leito por um período inferior a 24 horas, 04 - Atenção Hospitalar: atenção à saúde prestada a um indivíduo por razões clínicas, cirúrgicas ou diagnósticas que demandem a ocupação de um leito de internação por um período igual ou superior a 24 horas, 05 - Atenção Psicossocial: atenção à saúde por meio de cuidados ambulatoriais de caráter territorial e comunitário que visa à substituição do modelo asilar manicomial, que possibilitem a reabilitação psicossocial das pessoas em sofrimento psíquico ou transtorno mental, incluindo aquelas com necessidades decorrente do uso de álcool e outras drogas. 06 - Atenção à Urgência/Emergência: atenção à saúde não programada destinada ao indivíduo cuja severidade de seus agravos ou lesões necessite de atendimento em tempo hábil e oportuno. 07 - Ambulatorial Especializada: atenção à saúde de caráter ambulatorial composta por ações e serviços cuja complexidade da assistência na prática clínica demande a disponibilidade de profissionais especializados e a utilização de recursos tecnológicos, para o apoio diagnóstico e tratamento, 08 - Assistência Farmacêutica: compreende o conjunto de ações voltadas à promoção, proteção e recuperação da saúde, tanto individual como coletivo, tendo o medicamento como insumo essencial e visando o acesso e ao seu uso racional.;não cadastral;amplo
Caráter do atendimento;Identifica o contato assistencial de acordo com a prioridade de sua realização. Texto Codificado: 01. Eletivo: é o atendimento previamente programado ou agendado, 02. Urgência: é o atendimento ao indivíduo cuja severidade dos agravos ou lesões demanda atendimento em tempo hábil e oportuno, não sendo possível programar ou agendar previamente, 99.  Sem registro no modelo de informação de origem;não cadastral;amplo
Motivo do desfecho;Caracteriza o motivo de conclusão total ou parcial do contato assistencial. 01. Alta Clínica: conclusão do contato assistencial, sem necessidade de continuidade do cuidado, confirmada pelo profissional responsável. 02. Alta Voluntária: conclusão do contato assistencial por decisão do indivíduo comunicada ao estabelecimento de saúde, sem que o profissional de saúde responsável pela sua assistência confirme a finalização do cuidado. 03. Encaminhamento: conclusão do contato assistencial com orientação do profissional responsável para continuidade do cuidado em outro ponto de atenção. 04. Evasão: conclusão do contato assistencial ocorrida quando o indivíduo abandona o estabelecimento de saúde por vontade própria sem solicitação ou condição de saúde que permita sua saída confirmada pelo profissional responsável pela sua assistência. 05. Ordem Judicial: conclusão do contato assistencial ocorrida quando o estabelecimento de saúde recebe uma ordem do juiz para dar alta ao indivíduo. 06. Óbito: conclusão do contato assistencial em decorrência da morte do indivíduo. 07. Permanência: conclusão parcial do contato assistencial ocorrida quando o indivíduo permanece em tratamento, mas o estabelecimento de saúde, por qualquer motivo, deseja enviar as informações do contato assistencial. 08. Retorno: conclusão do contato assistencial com orientação do profissional responsável para continuidade do cuidado no mesmo ponto de atenção. 09. Transferência: conclusão do contato assistencial por necessidade imediata de continuidade do cuidado em outro estabelecimento de saúde, confirmada pelo profissional responsável. 99. Sem registro no modelo de informação de origem;não cadastral;amplo
Terminologia que descreve o problema/diagnóstico;Identificador da terminologia que será utilizada para informar os problemas/diagnósticos avaliados.;não cadastral;amplo
Versão da terminologia;Identificador da edição da terminologia utilizada para descrever o problema/diagnóstico no contato assistencial.;não cadastral;amplo
Problema/Diagnóstico;Texto codificado por terminologia externa. Terminologias de Problema/Diagnóstico: CID-10: 2.16.840.1.113883.6.3, CIAP2: 2.16.840.1.113883.6.139;não cadastral;amplo
Indicador de presença na admissão;Identifica se o problema/diagnóstico é previamente conhecido na admissão do indivíduo para o contato assistencial. Texto Codificado: Sim, Não,;não cadastral;amplo
Categoria do diagnóstico;Condição estabelecida após estudo de forma a esclarecer qual o mais importante ou principal motivo responsável pela demanda do contato assistencial. O diagnóstico principal reflete achados clínicos descobertos durante a permanência do indivíduo no estabelecimento de saúde, podendo portanto ser diferente do diagnóstico de admissão. (Port. nº 1.324/SAS/MS/2014). Texto Codificado: Principal, Secundário;não cadastral;amplo
Financiamento;Terminologia que descreve o agente, instituição ou entidade responsável por custear as ações e serviços de saúde. 01 - Sistema Único de Saúde (SUS): as ações e serviços de saúde são custeados diretamente pelo Sistema Único de Saúde (SUS), em suas três esferas de gestão, nos termos do Art. 198 da Constituição Federal de 1988, da Lei nº 8.080/1990 e da Lei Complementar nº 141/2012, bem como as custeadas de forma indireta pelo poder público, através de programas de dedução fiscal, que se revertem em assistência aos usuários do SUS, como os previstos no Programa de Apoio ao Fortalecimento Institucional do SUS (PROADI SUS), Programa Nacional de Apoio à Atenção Oncológica (PRONON) e Programa Nacional de Apoio à Atenção à Saúde de Pessoa com Deficiência (PRONAS/PCD), 02 - Plano de Saúde Público: as ações e serviços de saúde são custeados por pessoas jurídicas de direito público que operam planos de saúde de caráter público, como os fundos, institutos e fundações de saúde dos servidores públicos e os fundos de saúde das forças armadas e auxiliares, 03 - Plano de Saúde Privado: as ações e serviços de saúde são custeadas por pessoas jurídicas de direito privado que operam planos de assistência à saúde regulados pela Agência Nacional de Saúde Suplementar (ANS), nos termos da Lei nº 9.656, de 3 de junho de 1998, 04 - Particular: as ações e serviços de saúde são custeados diretamente por uma pessoa física ou jurídica, 05 - Gratuidade: as ações e serviços de saúde são custeadas pelo próprio estabelecimento, seja para atendimento a uma urgência sem o reembolso ou em caráter de caridade.;não cadastral;amplo
Terminologia que descreve o procedimento realizado;Identificador da terminologia que será utilizada para informar o(s) procedimento(s) realizado(s). Terminologias de Procedimentos: CBHPM: 2.16.840.1.113883.2.21.1.123, TUSS: 2.16.840.1.113883.2.21.1.122, Tabela SUS: 2.16.840.1.113883.2.21.1.121;não cadastral;amplo
Versão da terminologia;Identificador da edição da terminologia utilizada para descrever o procedimento realizado.;não cadastral;amplo
Procedimento(s) realizado(s);Ação de saúde realizada no indivíduo durante um contato assistencial. Texto codificado por terminologia externa;não cadastral;amplo
Quantidade;Número de vezes que o procedimento foi realizado na data informada.;não cadastral;amplo
Data da realização;Data que o procedimento foi realizado.;não cadastral;restrito
Número de autorização;Identificador da permissão para a realização de um procedimento.;não cadastral;restrito
Classificação Brasileira de Ocupação/Ministério do Trabalho e Emprego (CBO/MTE);Atividade desempenhada pelo profissional que realizou o procedimento.;não cadastral;amplo
CNS do profissional;Número válido do CNS do profissional no CNES do estabelecimento de saúde ou do seu terceiro que identifica de forma unívoca o profissional que realizou o procedimento.;não cadastral;restrito
Estabelecimento de saúde terceiro;Número válido de um estabelecimento de saúde que identifica o serviço terceiro do estabelecimento de saúde do contato assistencial.;não cadastral;restrito
Equipe de saúde;Número válido do INE no CNES do estabelecimento de saúde ou do terceiro que realizou o procedimento e que identifica um conjunto de profissionais de saúde destinado a um contato assistencial.;não cadastral;restrito
