Nome do campo;Descrição;tipo;sensibilidade
Unidade de Saude atual;Unidade de Saude atual;não cadastral;false
UF de residência atual;UF de residência atual;não cadastral;false
Município de residência atual;Município de residência atual;não cadastral;false
CEP de Residência atual;CEP de residência atual do paciente;cadastral;false
Distrito de residência atual;Distrito de residência atual;não cadastral;false
Bairro de residência atual;Bairro de residência atual;não cadastral;false
Baciloscopia no 1º mês;Resultado da baciloscopia de escarro para BAAR (Bacilo Alcóol- Resistentes) realizada em amostra colhida ao final do 1º mês de tratamento;não cadastral;false
Baciloscopia no 2º mês;Resultado da baciloscopia de escarro para BAAR (Bacilo Alcóol- Resistentes) realizada em amostra colhida ao final do 2º mês de tratamento;não cadastral;false
Baciloscopia no 3º mês;Resultado da baciloscopia de escarro para BAAR (Bacilo Alcóol- Resistentes) realizada em amostra colhida ao final do 3º mês de tratamento;não cadastral;false
Baciloscopia no 4º mês;Resultado da baciloscopia de escarro para BAAR (Bacilo Alcóol- Resistentes) realizada em amostra colhida ao final do 4º mês de tratamento;não cadastral;false
Baciloscopia no 5º mês;Resultado da baciloscopia de escarro para BAAR (Bacilo Alcóol- Resistentes) realizada em amostra colhida ao final do 5º mês de tratamento;não cadastral;false
Baciloscopia no 6º mês;Resultado das baciloscopias de escarro para BAAR (Bacilo Alcóol- Resistentes) realizadas em amostras colhidas no 6º mês de tratamento.;não cadastral;false
Baciloscopia após 6º mês;Resultado das baciloscopias de escarro para BAAR (Bacilo Alcóol- Resistentes) realizadas em amostras colhidas após o 6º mês de tratamento.;não cadastral;false
Nº de Prontuário atual;Identificador do prontuário atual na unidade de saúde;cadastral;false
Tratamento Diretamente Observado (TDO) realizado;Informar se foi realizado o Tratamento Diretamente Observado durante todo o tratamento do Caso Para ser considerado TDO realizado são necessárias 24 doses observadas na fase intensiva e 48 doses observadas na fase de manutenção.;não cadastral;false
Total de Contatos Examinados;Preencher com o total de contatos examinados na investigação e acompanhamento do caso.;não cadastral;false
Situação de encerramento;Situação de encerramento do caso notificado;não cadastral;false
Se transferência;Se transferência;não cadastral;false
UF de Transferência (destino do paciente);"UF de Transferência; para os pacientes que forem transferidos para outro município e/ou outro estado Município de transferência para onde o paciente foi transferido";não cadastral;false
Município de Transferência (destino do paciente);Município de Transferência (destino do paciente);não cadastral;false
Data de encerramento;Data de encerramento;não cadastral;false
Oportunidade;Oportunidade;não cadastral;false
Data de oportunidade;Oportunidade de encerramento Dados preenchidos automaticamente a partir de cálculo do intervalo entre a data de encerramento e a data de notificação;não cadastral;false
